"","age","gender","db_id","id","word","judgment","h","percent_agreement","familiarity","complexity","aoa"
"1","4","boy","10124",54,"cat",6,0,100,3,3.8,3.68
"2","4","boy","10124",54,"dog",6,0,100,3.47,3.8,2.8
"3","4","boy","10124",54,"duck",6,0.42,93,2.67,3.6,3.5
"4","4","boy","10124",54,"elephant",5,0,100,2.93,4,4.8
"5","4","boy","10124",54,"fish",6,0,100,2.93,3.13,4.05
"6","4","boy","10124",54,"gorilla",1,1.18,70,2.47,4.13,5.74
"7","4","boy","10124",54,"leopard",3,2.19,30,2.15,3.77,6.84
"8","4","boy","10124",54,"lobster",1,1.12,53,2.08,4.62,7.44
"9","4","boy","10124",54,"owl",3,0.22,93,1.83,4.03,6.21
"10","4","boy","10124",54,"penguin",6,0,93,2.86,3.71,5.68
"11","4","boy","10124",54,"pig",6,0,100,1.81,3.67,3.84
"12","4","boy","10124",54,"raccoon",1,1.24,47,2.04,4.13,6.79
"13","4","boy","10124",54,"snake",5,0.21,97,2.33,2.53,5.1
"14","4","boy","10124",54,"turtle",6,0,100,2.73,3.33,4.17
"15","4","boy","10124",54,"zebra",6,0,97,2.38,4.17,4.79
"16","4","boy","10195",11,"cat",5,0,100,3,3.8,3.68
"17","4","boy","10195",11,"dog",6,0,100,3.47,3.8,2.8
"18","4","boy","10195",11,"duck",6,0.42,93,2.67,3.6,3.5
"19","4","boy","10195",11,"elephant",6,0,100,2.93,4,4.8
"20","4","boy","10195",11,"fish",5,0,100,2.93,3.13,4.05
"21","4","boy","10195",11,"gorilla",6,1.18,70,2.47,4.13,5.74
"22","4","boy","10195",11,"leopard",1,2.19,30,2.15,3.77,6.84
"23","4","boy","10195",11,"lobster",4,1.12,53,2.08,4.62,7.44
"24","4","boy","10195",11,"owl",4,0.22,93,1.83,4.03,6.21
"25","4","boy","10195",11,"penguin",5,0,93,2.86,3.71,5.68
"26","4","boy","10195",11,"pig",5,0,100,1.81,3.67,3.84
"27","4","boy","10195",11,"raccoon",1,1.24,47,2.04,4.13,6.79
"28","4","boy","10195",11,"snake",6,0.21,97,2.33,2.53,5.1
