word,h,percent_agreement,familiarity,complexity,aoa
lobster,1.12,53,2.08,4.62,7.44
leopard,2.19,30,2.15,3.77,6.84
raccoon,1.24,47,2.04,4.13,6.79
ostrich,2.03,37,2.09,4,6.42
rooster,1.67,40,2.59,3.97,6.41
swan,1.31,57,2.93,3.29,6.317630000000001
owl,0.22,93,1.83,4.03,6.21
donkey,1.18,70,2.6,3.6,6
rhinoceros,1.97,43,1.85,3.77,6
eagle,1.75,30,2.77,4.31,5.83
seahorse,1.73,50,2.7,4.04,5.83
snail,0.24,80,2.28,3.08,5.79
grasshopper,2.79,27,1.89,4.19,5.78
peacock,1.61,40,2.04,4.44,5.763466
gorilla,1.18,70,2.47,4.13,5.74
penguin,0,93,2.86,3.71,5.68
kangaroo,0.22,90,2.93,3.9,5.55
seal,0.61,80,2.59,3.83,5.42
beetle,2.78,23,1.78,3.87,5.32
skunk,0.82,73,2.64,4,5.32
goat,1.66,60,2.07,4,5.21
caterpillar,1.42,47,2.43,3,5.17
deer,0.51,70,2.77,3.92,5.17
camel,0,90,2.17,3.9,5.11
snake,0.21,97,2.33,2.53,5.1
fox,0.75,73,2.21,3.79,5.017476
bee,1.43,66,1.93,4.13,5
giraffe,0.59,83,2.79,4.14,5
mouse,0.87,77,2.52,3.34,4.94
elephant,0,100,2.93,4,4.8
zebra,0,97,2.38,4.17,4.79
alligator,1.39,60,1.8,4.13,4.78
squirrel,0.58,83,3.07,3.97,4.44
lion,0.47,90,2,3.93,4.42
ant,1.36,50,2.31,3.85,4.32
frog,0.21,97,2.4,3.8,4.32
sheep,1.79,40,2.44,4.04,4.25
monkey,0.21,97,3.2,3.6,4.21
turtle,0,100,2.73,3.33,4.17
horse,0.21,97,3.53,3.53,4.15
fish,0,100,2.93,3.13,4.05
tiger,0.81,77,2.21,4.57,4
cow,0.23,87,2.7,3.89,3.94
rabbit,1.16,70,3.4,3.93,3.94
pig,0,100,1.81,3.67,3.84
cat,0,100,3,3.8,3.68
butterfly,0,100,3.27,2.87,3.67
bear,0.59,80,2.5,3.93,3.58
bird,0.63,90,3.07,4.07,3.52
duck,0.42,93,2.67,3.6,3.5
spider,1,67,1.64,3.32,3.43
chicken,1.89,50,1.97,4.1,3.26
fly,1.62,57,1.62,4.17,3.05
dog,0,100,3.47,3.8,2.8
