"","why","age","experience","language","location","don't know","other"
"1","Because it had a longer beak than a bird",0,1,0,0,0,2
"2","Because i think why because its the only animal that hoot",0,1,0,0,0,1
"3","Cause it makes sounds",0,1,0,0,0,1
"4","bc a lot of people know the names of ducks",0,1,0,0,0,1
"5","because sometimes you may think its a different type of animal like a cheetah instead of a leopard",0,1,0,0,0,1
"6","Because penguins live in the artic and its too cold for little kids so thats why you should have 130 jackets on to go the artic",1,1,0,2,0,0
"7","Because leopards look similar to cheetas so he might get confused",0,1,0,0,0,1
"8","Cause he doesn't know how to talk",0,0,2,0,0,1
"9","Because I think I knew that when I was around 3, I knew what a pig was",2,1,0,0,0,0
"10","because i thought he might think it was something else",0,1,0,0,0,1
"11","Because it mostly comes out at night",0,1,0,1,0,0
"12","Because its kind of like everyone knows that animal",0,1,0,0,0,1
"13","Because if he went to preschool then he probably knew it would be a snake",2,1,0,1,0,0
"14","because he does not know what a beak is called",0,1,1,0,0,1
"15","el-e-phant, only find them in the zoo",0,1,0,2,0,0
"16","because its similar to cat",0,1,0,0,0,0
"17","Because he just knows certain words",0,0,1,0,0,1
"18","when they do the alphabet in school, there f is usually a fish",0,1,2,0,0,0
"19","Because there are male and female ducks and they look very diffrent from each other and he might not know that one is a duck",0,1,0,0,0,1
"20","Because if he doesnt know the word piano then if he could know the word raccoon then he would know the word piano because raccoon is like the level of piano",1,0,2,0,0,0
"21","because fish swim under the ocean",0,1,0,2,0,0
"22","Because he knows how to say owl",0,0,1,0,0,1
"23","Because he doesn't know how to talk yet",2,0,1,0,0,0
"24","because he maybe he didn't know how to say it",0,0,2,0,0,1
"25","Because it lives in the water and you can't find them really easily",0,1,0,2,0,0
"26","Because gorillas are really rare animals and lots of babies don't know about them",1,2,1,0,0,0
"27","Because leopards are really big and not a lot of people would really know them, i didn't know them when i was a little kid",2,1,0,0,0,0
"28","Because its small",0,1,0,0,0,1
