ID,why,age,experience,language,location,don't know,other
8041,because it's a hard word,,,,,,
8040,"when they do the alphabet in school, there f is usually a fish",,,,,,
10175,Because he has probably never seen one before,,,,,,
8397,cause he knows elephants ,,,,,,
4524,because sometimes you may think its a different type of animal like a cheetah instead of a leopard,,,,,,
11052,Cause it makes sounds,,,,,,
6338,Because it was a very long word,,,,,,
8234,because its a longer word and piano and longgg and car was short word ,,,,,,
8233,he sees them in aqariums ,,,,,,
4640,Because it only has 3 letters and 3 letters are the easiest ,,,,,,
10195,I don't know ,,,,,,
7289,Because if he went to preschool then he probably knew it would be a snake,,,,,,
10295,Because he guessed,,,,,,
11240,,,,,,,
9009,Because it didn't look like an owl that he would see on a show,,,,,,
8966,Because maybe he has a dog,,,,,,
8965,Because there are male and female ducks and they look very diffrent from each other and he might not know that one is a duck,,,,,,
9520,Maybe he recognized the shell,,,,,,
11703,because it has two syllables ,,,,,,
4593,Because penguins live in the artic and its too cold for little kids so thats why you should have 130 jackets on to go the artic ,,,,,,
11719,,,,,,,
RP-0221,Because it lives in the water and you can't find them really easily,,,,,,
9477,Because he knows how to say owl,,,,,,
9245,Because his dad said that a fish splashed in the lake that they passed by,,,,,,
8856,Because it's a short word,,,,,,
8857,,,,,,,
8857,I don't know,,,,,,
7533,Because they might have it for a pet,,,,,,
6905,Because it mostly comes out at night ,,,,,,
7673,"el-e-phant, only find them in the zoo",,,,,,
RP-0226,Because gorillas are really rare animals and lots of babies don't know about them,,,,,,
5913,because i thought he might think it was something else,,,,,,
7474,because he does not know what a beak is called,,,,,,
4921,"Because I think I knew that when I was around 3, I knew what a pig was",,,,,,
7391,"Cat, it sounded hard",,,,,,
4875,Cause he doesn't know how to talk,,,,,,
9282,I don't know,,,,,,
10084,I don't know,,,,,,
9179,because fish swim under the ocean,,,,,,
7862,because its similar to cat,,,,,,
8302,I don't know,,,,,,
9678,Because he doesn't know how to talk yet,,,,,,
10109,i dont know,,,,,,
10108,dont know,,,,,,
11726,bc a lot of people know the names of ducks,,,,,,
9058,Because if he doesnt know the word piano then if he could know the word raccoon then he would know the word piano because raccoon is like the level of piano,,,,,,
10518,because it's a long word,,,,,,
10516,because ducks are my favorite [some parent interference on this q],,,,,,
RP-0248,Cause I think he saw it before and his mom or dad told him,,,,,,
RP-0238,I'm not sure,,,,,,
8552,Because it has four letters and it is a very easy word to pronounce ,,,,,,
4710,Because leopards look similar to cheetas so he might get confused ,,,,,,
RP-0245,b/c dogs are everywhere,,,,,,
10124,Because it had a longer beak than a bird,,,,,,
9299,,,,,,,
10588,I don't know,,,,,,
9712,because he maybe he didn't know how to say it,,,,,,
10702,Because the word is too long,,,,,,
7913,Because he just knows certain words ,,,,,,
6939,Because its kind of like everyone knows that animal ,,,,,,
6974,Because maybe he couldnt read it,,,,,,
9127,i dont know,,,,,,
6392,I dont know,,,,,,
RP-0264,"Because leopards are really big and not a lot of people would really know them, i didn't know them when i was a little kid",,,,,,
9692,I dont know,,,,,,
RP-0274,I dont know,,,,,,
RP-0273,Because its small,,,,,,
10815,Because i think why because its the only animal that hoot,,,,,,
