subject number,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
researcher,al,al,bm,bm,bm,bm,bm,al,bm,bm,bm,bm,bm,bm,bm,bm
date,6/23,6/24,6/25,6/26,6/29,6/29,6/29,6/30,6/30,6/30,7/1,7/1,7/2,7/3,7/3,7/3
age,5,6,4,8,9,8,7,7,7,5,8,8,7,6,4,6
ball,3,6,6,5,5,6,6,5,6,6,5,6,2,4,,6
cat,5,5,2,5,6,5,6,6,5,6,5,6,6,5,5,1
dog,1,5,4,6,6,5,6,5,6,6,6,6,6,4,3,6
duck,6,1,3,2,2,6,5,2,4,2,2,6,1,3,4,6
elephant,1,3,3,4,1,2,1,2,3,1,1,1,1,6,3,6
gorilla,1,1,3,1,1,2,1,5,2,5,2,1,1,2,4,5
leopard,1,4,3,1,2,2,1,5,1,5,1,1,1,1,,4
lobster,6,2,5,2,5,5,1,1,5,6,2,1,1,1,,1
owl,5,6,3,5,6,5,6,5,5,5,5,5,1,6,,2
pig,3,6,5,6,6,6,6,5,5,5,6,6,6,6,,6
raccoon,5,1,3,1,2,5,2,3,6,5,2,3,1,4,,6
turtle,1,6,5,5,6,6,3,5,2,6,6,2,6,5,,6
zebra,1,1,6,1,1,2,1,1,5,6,5,1,1,6,,6
snake,2,2,3,4,2,2,5,5,1,5,2,1,2,6,,6
fish,1,6,6,6,6,6,6,5,6,6,5,4,6,4,,6
penguin,4,2,3,5,2,2,1,5,1,5,2,1,1,5,,6
